ID_LOJA,NOME_LOJA,DATA,CONTAGEM_CLIENTES
510,ITACOATIARA,2025-01-02,2525
510,ITACOATIARA,2025-01-03,2671
510,ITACOATIARA,2025-01-04,1884
510,ITACOATIARA,2025-01-05,577
510,ITACOATIARA,2025-01-06,2786
510,ITACOATIARA,2025-01-07,2435
510,ITACOATIARA,2025-01-08,2301
510,ITACOATIARA,2025-01-09,2036
510,ITACOATIARA,2025-01-10,1958
510,ITACOATIARA,2025-01-11,1492
510,ITACOATIARA,2025-01-12,297
510,ITACOATIARA,2025-01-13,1894
510,ITACOATIARA,2025-01-14,1651
510,ITACOATIARA,2025-01-15,1676
510,ITACOATIARA,2025-01-16,1556
510,ITACOATIARA,2025-01-17,1485
510,ITACOATIARA,2025-01-18,2948
510,ITACOATIARA,2025-01-19,703
510,ITACOATIARA,2025-01-20,4272
510,ITACOATIARA,2025-01-21,2343
510,ITACOATIARA,2025-01-22,1919
510,ITACOATIARA,2025-01-23,1734
510,ITACOATIARA,2025-01-24,1590
510,ITACOATIARA,2025-01-25,1546
510,ITACOATIARA,2025-01-26,310
510,ITACOATIARA,2025-01-27,2224
510,ITACOATIARA,2025-01-28,1939
510,ITACOATIARA,2025-01-29,1935
510,ITACOATIARA,2025-01-30,2357
510,ITACOATIARA,2025-01-31,3103
510,ITACOATIARA,2025-02-01,2148
510,ITACOATIARA,2025-02-02,543
510,ITACOATIARA,2025-02-03,2908
510,ITACOATIARA,2025-02-04,2214
510,ITACOATIARA,2025-02-05,2532
510,ITACOATIARA,2025-02-06,2293
510,ITACOATIARA,2025-02-07,2500
510,ITACOATIARA,2025-02-08,2059
510,ITACOATIARA,2025-02-09,558
510,ITACOATIARA,2025-02-10,2500
510,ITACOATIARA,2025-02-11,1923
510,ITACOATIARA,2025-02-12,1427
510,ITACOATIARA,2025-02-13,1617
510,ITACOATIARA,2025-02-14,1596
510,ITACOATIARA,2025-02-15,2361
510,ITACOATIARA,2025-02-16,741
510,ITACOATIARA,2025-02-17,3061
510,ITACOATIARA,2025-02-18,2263
510,ITACOATIARA,2025-02-19,2076
510,ITACOATIARA,2025-02-20,2008
510,ITACOATIARA,2025-02-21,2108
510,ITACOATIARA,2025-02-22,1628
510,ITACOATIARA,2025-02-23,325
510,ITACOATIARA,2025-02-24,2345
510,ITACOATIARA,2025-02-25,2074
510,ITACOATIARA,2025-02-26,2075
510,ITACOATIARA,2025-02-27,2437
510,ITACOATIARA,2025-02-28,3077
510,ITACOATIARA,2025-03-01,2793
510,ITACOATIARA,2025-03-02,733
510,ITACOATIARA,2025-03-03,2424
510,ITACOATIARA,2025-03-04,1413
510,ITACOATIARA,2025-03-05,1529
510,ITACOATIARA,2025-03-06,3082
510,ITACOATIARA,2025-03-07,3213
510,ITACOATIARA,2025-03-08,1589
510,ITACOATIARA,2025-03-09,794
510,ITACOATIARA,2025-03-10,2841
