DATA,NOME_LOJA,CONTAGEM_CLIENTES,ID LOJA
2022-07-01,ITACOATIARA,3334,510
2022-07-02,ITACOATIARA,2233,510
2022-07-03,ITACOATIARA,660,510
2022-07-04,ITACOATIARA,2991,510
2022-07-05,ITACOATIARA,2637,510
2022-07-06,ITACOATIARA,2572,510
2022-07-07,ITACOATIARA,2604,510
2022-07-08,ITACOATIARA,2235,510
2022-07-09,ITACOATIARA,1841,510
2022-07-10,ITACOATIARA,528,510
2022-07-11,ITACOATIARA,2076,510
2022-07-12,ITACOATIARA,1792,510
2022-07-13,ITACOATIARA,1728,510
2022-07-14,ITACOATIARA,1434,510
2022-07-15,ITACOATIARA,1745,510
2022-07-16,ITACOATIARA,1617,510
2022-07-17,ITACOATIARA,516,510
2022-07-18,ITACOATIARA,2097,510
2022-07-19,ITACOATIARA,1885,510
2022-07-20,ITACOATIARA,1899,510
2022-07-21,ITACOATIARA,1986,510
2022-07-22,ITACOATIARA,2053,510
2022-07-23,ITACOATIARA,1580,510
2022-07-24,ITACOATIARA,450,510
2022-07-25,ITACOATIARA,2213,510
2022-07-26,ITACOATIARA,1979,510
2022-07-27,ITACOATIARA,2160,510
2022-07-28,ITACOATIARA,2290,510
2022-07-29,ITACOATIARA,3632,510
2022-07-30,ITACOATIARA,2730,510
2022-07-31,ITACOATIARA,848,510
2022-08-01,ITACOATIARA,3668,510
2022-08-02,ITACOATIARA,2682,510
2022-08-03,ITACOATIARA,2363,510
2022-08-04,ITACOATIARA,2303,510
2022-08-05,ITACOATIARA,2790,510
2022-08-06,ITACOATIARA,2500,510
2022-08-07,ITACOATIARA,663,510
2022-08-08,ITACOATIARA,3115,510
2022-08-09,ITACOATIARA,2528,510
2022-08-10,ITACOATIARA,2411,510
2022-08-11,ITACOATIARA,2169,510
2022-08-12,ITACOATIARA,2303,510
2022-08-13,ITACOATIARA,2283,510
2022-08-14,ITACOATIARA,612,510
2022-08-15,ITACOATIARA,2349,510
2022-08-16,ITACOATIARA,2143,510
2022-08-17,ITACOATIARA,2046,510
2022-08-18,ITACOATIARA,2091,510
2022-08-19,ITACOATIARA,2222,510
2022-08-20,ITACOATIARA,1666,510
2022-08-21,ITACOATIARA,543,510
2022-08-22,ITACOATIARA,2433,510
2022-08-23,ITACOATIARA,1928,510
2022-08-24,ITACOATIARA,1726,510
2022-08-25,ITACOATIARA,1818,510
2022-08-26,ITACOATIARA,1853,510
2022-08-27,ITACOATIARA,1677,510
2022-08-28,ITACOATIARA,570,510
2022-08-29,ITACOATIARA,2188,510
2022-08-30,ITACOATIARA,2406,510
2022-08-31,ITACOATIARA,3060,510
2022-09-01,ITACOATIARA,3328,510
2022-09-02,ITACOATIARA,2834,510
2022-09-03,ITACOATIARA,2555,510
2022-09-04,ITACOATIARA,681,510
2022-09-05,ITACOATIARA,1535,510
2022-09-06,ITACOATIARA,2847,510
2022-09-07,ITACOATIARA,903,510
2022-09-08,ITACOATIARA,3368,510
2022-09-09,ITACOATIARA,2627,510
2022-09-10,ITACOATIARA,2343,510
2022-09-11,ITACOATIARA,596,510
2022-09-12,ITACOATIARA,2814,510
2022-09-13,ITACOATIARA,2086,510
2022-09-14,ITACOATIARA,2035,510
2022-09-15,ITACOATIARA,2053,510
2022-09-16,ITACOATIARA,1808,510
2022-09-17,ITACOATIARA,1884,510
2022-09-18,ITACOATIARA,613,510
2022-09-19,ITACOATIARA,2232,510
2022-09-20,ITACOATIARA,2785,510
2022-09-21,ITACOATIARA,2643,510
2022-09-22,ITACOATIARA,2414,510
2022-09-23,ITACOATIARA,2235,510
2022-09-24,ITACOATIARA,1934,510
2022-09-25,ITACOATIARA,487,510
2022-09-26,ITACOATIARA,2526,510
2022-09-27,ITACOATIARA,2382,510
2022-09-28,ITACOATIARA,2658,510
2022-09-29,ITACOATIARA,3343,510
2022-09-30,ITACOATIARA,4835,510
2022-10-01,ITACOATIARA,0,510
2022-10-02,ITACOATIARA,0,510
2022-10-03,ITACOATIARA,0,510
2022-10-04,ITACOATIARA,0,510
2022-10-05,ITACOATIARA,0,510
2022-10-06,ITACOATIARA,0,510
2022-10-07,ITACOATIARA,0,510
2022-10-08,ITACOATIARA,0,510
2022-10-09,ITACOATIARA,0,510
2022-10-10,ITACOATIARA,793,510
2022-10-11,ITACOATIARA,2897,510
2022-10-12,ITACOATIARA,2665,510
2022-10-13,ITACOATIARA,2415,510
