ID_LOJA,NOME_LOJA,DATA,CONTAGEM_CLIENTES,VENDAS
510,ITACOATIARA,2022-09-05,1535,467
510,ITACOATIARA,2024-10-26,1916,490
510,ITACOATIARA,2023-05-15,2334,514
510,ITACOATIARA,2024-05-12,444,187
510,ITACOATIARA,2025-08-04,2578,724
510,ITACOATIARA,2025-04-18,672,181
510,ITACOATIARA,2024-10-19,2466,627
510,ITACOATIARA,2023-05-26,2486,654
510,ITACOATIARA,2025-04-03,1836,487
510,ITACOATIARA,2025-05-19,1943,400
510,ITACOATIARA,2022-08-16,2143,569
510,ITACOATIARA,2023-02-04,2596,649
510,ITACOATIARA,2023-01-14,1711,452
510,ITACOATIARA,2022-10-14,2467,524
510,ITACOATIARA,2024-05-13,1237,429
510,ITACOATIARA,2023-06-30,4566,1429
510,ITACOATIARA,2023-09-16,1373,381
510,ITACOATIARA,2025-08-11,2125,527
510,ITACOATIARA,2022-08-11,2169,608
510,ITACOATIARA,2022-07-12,1792,474
510,ITACOATIARA,2022-07-18,2097,503
510,ITACOATIARA,2022-10-15,2260,533
510,ITACOATIARA,2022-09-23,2235,613
510,ITACOATIARA,2024-11-24,655,182
510,ITACOATIARA,2023-11-08,2308,634
510,ITACOATIARA,2023-04-09,495,158
510,ITACOATIARA,2024-02-08,2039,483
510,ITACOATIARA,2024-12-24,2347,661
510,ITACOATIARA,2024-07-29,2948,830
510,ITACOATIARA,2024-10-10,2086,472
510,ITACOATIARA,2023-08-08,2253,545
510,ITACOATIARA,2023-09-15,1701,432
510,ITACOATIARA,2024-01-27,1578,366
510,ITACOATIARA,2024-04-05,2456,635
510,ITACOATIARA,2024-07-13,1377,326
510,ITACOATIARA,2025-06-01,719,185
510,ITACOATIARA,2022-11-20,751,202
510,ITACOATIARA,2022-12-09,2175,620
510,ITACOATIARA,2023-11-01,1997,508
510,ITACOATIARA,2024-11-01,1672,427
510,ITACOATIARA,2024-03-07,2340,609
510,ITACOATIARA,2025-02-25,2074,466
510,ITACOATIARA,2025-06-26,2767,691
510,ITACOATIARA,2022-12-02,2417,576
510,ITACOATIARA,2023-09-25,2291,595
510,ITACOATIARA,2024-02-19,2492,542
510,ITACOATIARA,2025-04-30,3411,925
510,ITACOATIARA,2025-06-17,1816,474
510,ITACOATIARA,2025-03-01,2793,816
510,ITACOATIARA,2023-11-06,3124,672
510,ITACOATIARA,2023-12-21,2835,776
510,ITACOATIARA,2023-06-20,2096,546
510,ITACOATIARA,2023-03-13,2221,472
